Municipality,province,inhabitants,Year,Total Revenues,Taxes and Duties,Extra-Tax Revenues,External Public Funding,Loans,Custodial Revenues,Capital Transfers,Revenues from Reduction of Financial Activities,Capital Revenues
SAN LUCIDO,CS,6036.0,2016,8250380.0,2611698.0,2318456.0,0.0,9395.0,946647.0,445905.0,0.0,1918279.0
FAVARA,AG,,2016,,0.0,0.0,0.0,0.0,,0.0,,
SAN FELICE A CANCELLO,CE,17560.0,2016,41132062.0,8431011.0,4627938.0,9200000.0,1262397.0,5376125.0,774258.0,0.0,11460333.0
SAN PAOLO DI CIVITATE,FG,5777.0,2016,8415026.0,2333550.0,354271.0,3135935.0,0.0,1713374.0,231387.0,0.0,646509.0
MELISSANO,LE,7173.0,2016,18128369.0,6492287.0,773107.0,2500000.0,51929.0,978804.0,157286.0,0.0,7174956.0
SAN LORENZO,RC,2625.0,2016,10995014.0,3537757.0,2809415.0,0.0,5276.0,538676.0,439948.0,0.0,3663943.0
ACRI,CS,20623.0,2016,39638693.0,8621546.0,1809964.0,6755698.0,5941.0,16675130.0,4228510.0,0.0,1541904.0
BENEVENTO,BN,59789.0,2017,158282933.0,39624262.0,2008522.0,31722038.0,46288.0,70499902.0,5805212.0,0.0,8576709.0
MONTEPARANO,TA,2379.0,2017,2170083.0,1172872.0,318527.0,188709.0,0.0,357348.0,83330.0,0.0,49298.0
BADOLATO,CZ,2974.0,2017,2100753.0,1069064.0,164818.0,0.0,0.0,301041.0,427476.0,0.0,138354.0
CERDA,PA,,2017,,0.0,0.0,0.0,0.0,,0.0,,
CASTELDACCIA,PA,,2017,,0.0,0.0,0.0,0.0,,0.0,,
FRAGNETO L'ABATE,BN,1020.0,2017,,0.0,0.0,0.0,0.0,,0.0,,
BROLO,ME,5767.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORTOCANNONE,CB,2490.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELLEGRA,RM,2841.0,2017,3642643.0,1179662.0,142812.0,1271508.0,0.0,778988.0,185562.0,0.0,84111.0
ALIFE,CE,7638.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAZZARRA' SANT'ANDREA,ME,,2017,,0.0,0.0,0.0,0.0,,0.0,,
SAN CALOGERO,VV,4178.0,2017,3205812.0,1871046.0,385738.0,65354.0,58439.0,371211.0,146504.0,0.0,307521.0
